,Name,"Uptime, %",Timestamps,Downtime
0,СберБанк,100.0,2022-11-30 04:08:43.753401 - 2022-11-30 04:09:22.376953,0.0
1,ВТБ,100.0,2022-11-30 04:08:43.979294 - 2022-11-30 04:09:22.376953,0.0
2,Газпромбанк,100.0,2022-11-30 04:08:44.590177 - 2022-11-30 04:09:22.376953,0.0
3,Альфа-Банк,100.0,2022-11-30 04:08:44.826215 - 2022-11-30 04:09:22.376953,0.0
4,Банк Открытие,100.0,2022-11-30 04:08:45.828786 - 2022-11-30 04:09:22.376953,0.0
5,Райффайзен Банк,100.0,2022-11-30 04:08:49.352961 - 2022-11-30 04:09:22.376953,0.0
6,МТС Банк,100.0,2022-11-30 04:08:49.700032 - 2022-11-30 04:09:22.376953,0.0
7,ОТП Банк,100.0,2022-11-30 04:08:49.832086 - 2022-11-30 04:09:22.376953,0.0
8,Абсолют Банк,100.0,2022-11-30 04:08:50.203585 - 2022-11-30 04:09:22.376953,0.0
9,Авангард,100.0,2022-11-30 04:08:50.680546 - 2022-11-30 04:09:22.376953,0.0
